,Name,DMSO 1-3 Basal_1,DMSO 1-3 Basal_2,DMSO 1-3 Basal_3,DMSO 3-5 Basal_1,DMSO 3-5 Basal_2,DMSO 3-5 Basal_3,DMSO 5-7 Basal_1,DMSO 5-7 Basal_2,DMSO 5-7 Basal_3
68,Glycerol,5.120324484,8.927963701,7.008476035,4.836282779,6.918050963,7.314325793,32.40644964,33.66664729,32.56317831
69,Glycerol-3-P,4.547714741,0.024588548,2.510847411,4.67463701,8.017527363,0.024588548,40.80663515,36.97158871,40.50691848
70,GMP,0,0,0,0,0,0,27.13370528,37.29413007,35.45148477
71,GSH,3.652843745,6.689207017,5.594107662,7.683216058,8.765338413,10.68483562,17.64982749,18.37070341,17.00465074
72,GSSG,4.524475879,4.995360108,4.787699125,9.055919727,9.552619973,10.11687641,17.7936118,17.92513765,17.16061251
73,His,0,0,0,0,0,0,0,0,0
74,HMG-CoA,32.11580708,30.46887353,30.15503327,29.53290712,30.87795253,30.41046134,30.26989007,24.90862674,27.74825062
75,Homocysteine,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734
76,HS2O3,0,0,0,0,0,0,0,0,0
77,Hypoxanthine,0,0,0,0,0,0,0.049140849,0.049140849,
78,IMP,0,0,0,0,0,0,52.92067255,50.02457042,60.01474829
79,Inosine,,,50.02457042,0,0,0,39.92550282,41.38046958,
80,Inositol,0,0,0,0,0,0,0,0,0
81,Lac,57.6976605,55.07705254,56.41681508,51.05428988,51.87592117,52.55096897,64.84078994,65.06014516,64.22149162
82,Leu/Ile,0,0,0,0,0,0,0,0,0
83,Lys,0,0,0,0,0,0,0,0,0
84,Mal,10.47762734,10.6313941,9.835537984,20.76488275,20.86081466,21.97796441,28.61837478,27.37778018,28.26775341
85,Met,1.418496933,1.418429077,1.338614395,4.287083169,4.343454039,4.696166834,20.30772191,20.4303129,18.9122453
86,NADP+,0,0,0,0,0,0,0,0,0
87,Nicotinamide,0,0,0,0,0,0,0,0,0
88,Ornithine,0.049140849,0.049140849,0.049140849,0.049140849,0.049140849,0.049140849,0.010109697,0.000697033,0.000451737
89,Orotate,0.049140849,0.049140849,0.049140849,2.558499251,3.531317268,1.452903541,6.570358386,2.392285304,2.735985245
90,Orotidine,44.83102911,44.01080386,44.10195282,46.06545223,47.42573072,47.74695631,47.86544376,45.50128822,45.76931
91,P-Choline,0.001269597,0.001260824,0.001180053,0.0010561,0.001215351,0.001054552,0.049140849,0.038034552,0.038698771
92,P-Creatine,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734,0.036870734
93,P-EtA,0.012297298,0.012297298,0.012297298,0.012297298,0.012297298,0.012297298,0.012297298,0.012297298,0.012297298
94,Palmitate,2.901933155,2.992522856,4.228195987,3.981339588,5.643288287,4.485655836,1.871409373,1.5269033,1.214135713
95,Pantothenate,0,0,0,0,0,0,0,0,0
96,PEP,0,0,0,0,0,0,100,100,100
97,Phe,0,0,0,0,0,0,0,0,0
98,Pipecolate,0,0,0,0,0,0,0,0,0
99,PO4,0,0,0,0,0,0,0,0,0
100,PPi,0,0,0,0,0,0,0,0,0
101,Pro,0.18590499,0.173210812,0.182019891,1.014553275,0.945296362,1.201495968,15.02215155,15.23170749,14.64218584
102,Pro-OH,0.049140849,0.049140849,0.049140849,0.049140849,0.049140849,0.049140849,0.049140849,0.049140849,0.049140849
103,Propanoyl-CoA,,83.33947846,83.33947846,0,0,0,24.53928778,26.93812967,24.15239384
104,PRPP,0,0,0,0,0,0,100,100,100
105,Pyr,80.99155632,80.37840261,80.63771905,78.85510445,81.06866695,78.97899944,82.67336298,81.69200669,84.2448318
106,R5P,0,0,0,0,0,0,58.889433,68.15768781,54.67531131
107,Rib,81.2265345,81.60419977,81.54442244,79.17253843,82.09002986,79.3862001,85.6217516,84.93843424,83.57413942
108,S7P,57.15339509,57.15339509,57.15339509,57.15339509,57.15339509,57.15339509,90.24941748,93.27540399,97.93469598
109,SAM,35.78272376,34.85688619,34.0477544,33.71272574,36.19922525,33.62714871,37.60759905,34.89429521,36.66043056
110,Sarc,81.69638694,81.41091356,81.62808684,92.01156736,91.77870698,98.19297669,27.0184392,0.082596533,25.7679845
111,Ser,29.05777573,28.09993442,28.03131101,50.98530338,50.48889753,49.46318931,43.88495331,40.84975411,37.19585334
112,Sorbitol,27.31294377,29.02127474,27.77801538,53.85444428,52.73798666,53.54416316,72.78313763,72.6268807,72.40952686
113,Succ,0.685043256,0.036870734,0.769080184,6.556802457,7.250207099,8.035295927,22.45582314,25.52175349,20.98960277
114,T,19.12052126,21.60748487,20.34701509,42.8710672,36.92521172,40.89531344,36.32486161,34.59888712,34.45286029
115,Thr,0,0,0,0,0,0,0,0,0
116,Thymine,22.13321419,25.51246763,2.051539217,27.3821054,1.91009303,25.79517447,13.00237469,24.58822803,23.80051313
117,Trp,0,0,0,0,0,0,0,0,0
118,Tyr,0,0,0,0,0,0,0,0,0
119,Tyramine,0,0,0,0,0,0,0,0,0
120,U,11.18742123,13.64597261,14.36066912,11.65499594,,11.28349534,11.11240791,11.11595133,29.41661702
121,UDP,52.04058201,45.22085872,50.17257795,53.3095245,54.53177966,50.44929593,41.92721659,40.6764224,40.45434969
122,UDP-Glc,44.17857023,43.39523153,43.89289229,50.38137995,50.20563626,47.87411557,60.52620781,59.98274442,57.60106591
123,UDP-GlcNAc,65.90951944,63.73388499,66.87295547,62.56524211,65.99735842,62.86234385,54.76839488,53.20063371,53.22297124
124,UMP,55.57194255,55.57194255,55.57194255,55.57194255,55.57194255,55.57194255,33.21173888,32.56942063,37.71294373
125,Uracil,3.922933362,4.297644537,4.202821013,5.320250637,5.918536391,5.827736801,15.98345238,15.66895438,15.39608205
126,Uric Acid,0.000758029,0.001537648,0.000775739,1.456279461,1.218012571,1.24913668,8.728045985,7.959799868,7.843505995
127,Val,0,0,0,0,0,0,0,0,0
128,Vit-C,0,0,0,0,0,0,0,0,0
129,Xanthine,0.001432427,0.042049303,0.00153746,0.021688025,0.051459328,0.001555933,9.354233612,4.883462749,3.172515343
