,Name,DMSO 1-3 Basal_1,DMSO 1-3 Basal_2,DMSO 1-3 Basal_3,DMSO 3-5 Basal_1,DMSO 3-5 Basal_2,DMSO 3-5 Basal_3,DMSO 5-7 Basal_1,DMSO 5-7 Basal_2,DMSO 5-7 Basal_3
73,GMP,0,0,0,0,0,0,606.354539,1641.087116,1854.875047
74,GSH,186445.2397,204541.7058,167463.6825,360695.0448,331469.8128,570125.3559,381281.9228,352126.5447,378404.0582
75,GSH/GSSG,5.954355493,6.048079824,8.636996383,6.495718853,4.959204312,6.290985465,13.90961092,13.32625359,13.68437887
76,GSSG,31312.41322,33819.28013,19389.11111,55528.11828,66839.31373,90625.76271,27411.401,26423.52123,27652.26408
77,His,29959349.06,25287509.26,33679700.52,15014745.31,17132532.79,15264686.31,3955686.544,4891720.348,4166139.806
78,HMG-CoA,487.1404959,542.4726135,617.2222222,361.4336918,571.1853832,668.3135593,41.58327377,26.24816984,28.45953003
79,Homocysteine,242698.3636,212954.4131,217863.0159,23442.06093,21123.23529,19311.80508,260.8863474,835.3367496,460.6340918
80,HS2O3,78332.67769,62689.07668,85818.60317,47462.15054,57534.86631,48553.09322,15545.44675,18750.37701,18803.25252
81,Hypoxanthine,0,0,0,0,0,0,340.7469621,808.0600293,
82,IMP,0,0,0,0,0,0,521.8120086,477.8770132,178.2693025
83,Inosine,,,1827.936508,0,0,0,2024.378127,928.9604685,
84,Inositol,6569873.686,5695798.31,6891711.873,4125312.858,4070967.932,4050394.153,3044058.985,3381948.906,3064001.414
85,Lac,15055935.27,14789433.24,16855201.7,26435503.16,28148640.53,28041142.86,22058007.22,28830586.6,22539198.62
86,Leu/Ile,267285563.8,238954477.9,296198563.4,132682393.2,149031325.1,135893546,25361034.02,33017097.72,27388781.53
87,Lys,3997806.826,3914673.646,4080345.746,2225262.5,2347991.676,2313657.508,598117.4518,713404.3119,567505.3898
88,Mal,2342796.066,1976175.728,1964755.54,2156875.027,2193503.913,2298451.144,1073730.629,1099979.162,1182885.77
89,Met,25550697.01,23565228.45,28573975.08,11898325.03,12688609.61,11673419.65,1301204.242,1817341.365,1508021.473
90,NADP+,539.9173554,802.9107981,,0,0,0,0,0,0
91,Nicotinamide,6716994.777,6120027.84,7515610.524,3908601.729,4294928.378,4435086.593,1400293.474,1757689.473,1566576.841
92,Ornithine,49351.75207,52560.53208,32738.69841,54727.55376,42890.19608,71795.44915,424757.9807,499182.4963,437189.31
93,Orotate,5663.206612,4920.876369,8766.190476,42884.51613,40133.23529,39004.88136,40219.61401,32313.72621,42796.18053
94,Orotidine,350892.2479,325536.0094,342802.3175,268208.9247,289393.877,309130.1695,82732.52323,91079.42533,76214.90116
95,P-Choline,7430841.835,6931742.801,7378943.302,2804463.817,3305692.344,3175434.407,74077.98785,89928.86164,76556.44909
96,P-Creatine,52321.23967,31444.1471,36188.65079,25041.81004,28973.31551,28988.98305,16976.45461,17159.86457,14630.82805
97,P-EtA,144054.3636,131804.9139,129412.1587,73151.29032,77437.51337,80209.52542,142679.3746,128818.0857,147356.3335
98,Palmitate,42790714.55,35125524.46,30419706.05,22063619.3,16713857.87,20985848.51,6070134.335,8067444.711,8939396.285
99,Pantothenate,11379603.69,10752649.73,13478523.27,6806738.575,7036956.266,6727050.364,1878085.347,2258747.193,1799507.587
100,PEP,0,0,0,0,0,0,532.7019299,367.9575403,474.1663558
101,Phe,113015953,99286796.85,125567716.2,58420019.6,66875605.02,57167916.54,15622373.26,19135452.09,16119257.36
102,Pipecolate,660453.2397,645107.8247,705675.6032,363279.1129,393974.2424,357293.1525,92825.97212,103331.9473,97449.42559
103,PO4,1076507.504,1041781.002,1152876.667,615892.3746,631760.4278,636972.8305,197710.99,246629.396,202774.3864
104,PPi,17550.71074,13726.72926,11305.4127,3653.808244,5195.329768,6753.957627,3977.323088,5587.430454,5004.192465
